1;220;160;90;40;510;4;;;;;
2;280;205;115;50;650;2;;;;;
3;360;260;145;65;830;2;;;;;
4;460;335;190;85;1070;2;;;;;
5;590;430;240;105;1365;2;;;;;
6;755;550;310;135;1750;3;;;;;
7;970;705;395;175;2245;3;;;;;
8;1240;900;505;225;2870;3;;;;;
9;1585;1155;650;290;3680;3;;;;;
10;2030;1475;830;370;4705;3;;;;;
11;2595;1890;1065;470;6020;3;;;;;
12;3325;2420;1360;605;7710;3;;;;;
13;4255;3095;1740;775;9865;3;;;;;
14;5445;3960;2230;990;12625;3;;;;;
15;6970;5070;2850;1270;16160;3;;;;;
16;8925;6490;3650;1625;20690;4;;;;;
17;11425;8310;4675;2075;26485;4;;;;;
18;14620;10635;5980;2660;33895;4;;;;;
19;18715;13610;7655;3405;43385;4;;;;;
20;23955;17420;9800;4355;55530;4;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
