1;130;160;90;40;420;1;1200
2;165;205;115;50;535;1;1700
3;215;260;145;65;685;1;2300
4;275;335;190;85;885;1;3100
5;350;430;240;105;1125;1;4000
6;445;550;310;135;1440;1;5000
7;570;705;395;175;1845;1;6300
8;730;900;505;225;2360;1;7800
9;935;1155;650;290;3030;1;9600
10;1200;1475;830;370;3875;1;11800
11;1535;1890;1065;470;4960;2;14400
12;1965;2420;1360;605;6350;2;17600
13;2515;3095;1740;775;8125;2;21400
14;3220;3960;2230;990;10400;2;25900
15;4120;5070;2850;1270;13310;2;31300
16;5275;6490;3650;1625;17040;2;37900
17;6750;8310;4675;2075;21810;2;45700
18;8640;10635;5980;2660;27915;2;55100
19;11060;13610;7655;3405;35730;2;66400
20;14155;17420;9800;4355;45730;2;80000
