1;120;200;0;80;400;0;;;;;
2;155;255;0;100;510;0;;;;;
3;195;330;0;130;655;0;;;;;
4;250;420;0;170;840;0;;;;;
5;320;535;0;215;1070;0;;;;;
6;410;685;0;275;1370;1;;;;;
7;530;880;0;350;1760;1;;;;;
8;675;1125;0;450;2250;1;;;;;
9;865;1440;0;575;2880;1;;;;;
10;1105;1845;0;740;3690;1;;;;;
11;1415;2360;0;945;4720;1;;;;;
12;1815;3020;0;1210;6045;1;;;;;
13;2320;3870;0;1545;7735;1;;;;;
14;2970;4950;0;1980;9900;1;;;;;
15;3805;6340;0;2535;12680;1;;;;;
16;4870;8115;0;3245;16230;2;;;;;
17;6230;10385;0;4155;20770;2;;;;;
18;7975;13290;0;5315;26580;2;;;;;
19;10210;17015;0;6805;34030;2;;;;;
20;13065;21780;0;8710;43555;2;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
