1;80;40;80;50;250;2;;;;;
2;135;65;135;85;420;1;;;;;
3;225;110;225;140;700;1;;;;;
4;375;185;375;235;1170;1;;;;;
5;620;310;620;390;1940;1;;;;;
6;1040;520;1040;650;3250;2;;;;;
7;1735;870;1735;1085;5425;2;;;;;
8;2900;1450;2900;1810;9060;2;;;;;
9;4840;2420;4840;3025;15125;2;;;;;
10;8080;4040;8080;5050;25250;2;;;;;
11;13500;6750;13500;8435;42185;2;;;;;
12;22540;11270;22540;14090;70440;2;;;;;
13;37645;18820;37645;23525;117635;2;;;;;
14;62865;31430;62865;39290;196450;2;;;;;
15;104985;52490;104985;65615;328075;2;;;;;
16;175320;87660;175320;109575;547875;3;;;;;
17;292790;146395;292790;182995;914970;3;;;;;
18;488955;244480;488955;305600;1527990;3;;;;;
19;816555;408280;816555;510350;2551740;3;;;;;
20;1000000;681825;1000000;852280;3534105;3;;;;;
21;1000000;1000000;1000000;1000000;4000000;3;;;;;
