1;1250;1110;1260;600;4220;4;;;;;
2;1600;1420;1615;770;5405;2;;;;;
3;2050;1820;2065;985;6920;2;;;;;
4;2620;2330;2640;1260;8850;2;;;;;
5;3355;2980;3380;1610;11325;2;;;;;
6;4295;3815;4330;2060;14500;3;;;;;
7;5500;4880;5540;2640;18560;3;;;;;
8;7035;6250;7095;3380;23760;3;;;;;
9;9005;8000;9080;4325;30410;3;;;;;
10;11530;10240;11620;5535;38925;3;;;;;
11;14755;13105;14875;7085;49820;3;;;;;
12;18890;16775;19040;9065;63770;3;;;;;
13;24180;21470;24370;11605;81625;3;;;;;
14;30950;27480;31195;14855;104480;3;;;;;
15;39615;35175;39930;19015;133735;3;;;;;
16;50705;45025;51110;24340;171180;4;;;;;
17;64905;57635;65425;31155;219120;4;;;;;
18;83075;73770;83740;39875;280460;4;;;;;
19;106340;94430;107190;51040;359000;4;;;;;
20;136115;120870;137200;65335;459520;4;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
