1;70;40;60;20;190;2;100%
2;90;50;75;25;240;1;104%
3;115;65;100;35;315;1;108%
4;145;85;125;40;395;1;112%
5;190;105;160;55;510;1;116%
6;240;135;205;70;650;2;120%
7;310;175;265;90;840;2;125%
8;395;225;340;115;1075;2;129%
9;505;290;430;145;1370;2;134%
10;645;370;555;185;1755;2;139%
11;825;470;710;235;2240;2;144%
12;1060;605;905;300;2870;2;150%
13;1355;775;1160;385;3675;2;155%
14;1735;990;1485;495;4705;2;161%
15;2220;1270;1900;635;6025;2;167%
16;2840;1625;2435;810;7710;3;173%
17;3635;2075;3115;1040;9865;3;180%
18;4650;2660;3990;1330;12630;3;187%
19;5955;3405;5105;1700;16165;3;193%
20;7620;4355;6535;2180;20690;3;201%
;;;;;;;
;;;;;;;
;;;;;;;
