1;180;130;150;80;540;3;0
2;230;165;190;100;685;2;0
3;295;215;245;130;885;2;9
4;375;275;315;170;1135;2;12
5;485;350;405;215;1455;2;15
6;620;445;515;275;1855;2;18
7;790;570;660;350;2370;2;21
8;1015;730;845;450;3040;2;24
9;1295;935;1080;575;3885;2;27
10;1660;1200;1385;740;4985;2;30
11;2125;1535;1770;945;6375;3;33
12;2720;1965;2265;1210;8160;3;36
13;3480;2515;2900;1545;10440;3;39
14;4455;3220;3715;1980;13370;3;42
15;5705;4120;4755;2535;17115;3;45
16;7300;5275;6085;3245;21905;3;48
17;9345;6750;7790;4155;28040;3;51
18;11965;8640;9970;5315;35890;3;54
19;15315;11060;12760;6805;45940;3;57
20;19600;14155;16335;8710;58800;3;60
;;;;;;;
;;;;;;;
;;;;;;;
