1;80;120;70;90;360;4;10
2;100;155;90;115;460;2;22
3;130;195;115;145;585;2;35
4;170;250;145;190;755;2;49
5;215;320;190;240;965;2;64
6;275;410;240;310;1235;3;80
7;350;530;310;395;1585;3;97
8;450;675;395;505;2025;3;115
9;575;865;505;650;2595;3;134
10;740;1105;645;830;3320;3;154
11;945;1415;825;1065;4250;3;175
12;1210;1815;1060;1360;5445;3;196
13;1545;2320;1355;1740;6960;3;218
14;1980;2970;1735;2230;8915;3;241
15;2535;3805;2220;2850;11410;3;265
16;3245;4870;2840;3650;14605;4;290
17;4155;6230;3635;4675;18695;4;316
18;5315;7975;4650;5980;23920;4;343
19;6805;10210;5955;7655;30625;4;371
20;8710;13065;7620;9800;39195;4;400
;;;;;;;
;;;;;;;
;;;;;;;
