1;180;250;500;160;1090;4;;;;;
2;230;320;640;205;1395;2;;;;;
3;295;410;820;260;1785;2;;;;;
4;375;525;1050;335;2285;2;;;;;
5;485;670;1340;430;2925;2;;;;;
6;620;860;1720;550;3750;3;;;;;
7;790;1100;2200;705;4795;3;;;;;
8;1015;1405;2815;900;6135;3;;;;;
9;1295;1800;3605;1155;7855;3;;;;;
10;1660;2305;4610;1475;10050;3;;;;;
11;2125;2950;5905;1890;12870;3;;;;;
12;2720;3780;7555;2420;16475;3;;;;;
13;3480;4835;9670;3095;21080;3;;;;;
14;4455;6190;12380;3960;26985;3;;;;;
15;5705;7925;15845;5070;34545;3;;;;;
16;7300;10140;20280;6490;44210;4;;;;;
17;9345;12980;25960;8310;56595;4;;;;;
18;11965;16615;33230;10635;72445;4;;;;;
19;15315;21270;42535;13610;92730;4;;;;;
20;19600;27225;54445;17420;118690;4;;;;;
;;;;;;;;;;;
