1;170;200;380;130;880;4;;;;;
2;220;255;485;165;1125;2;;;;;
3;280;330;625;215;1450;2;;;;;
4;355;420;795;275;1845;2;;;;;
5;455;535;1020;350;2360;2;;;;;
6;585;685;1305;445;3020;3;;;;;
7;750;880;1670;570;3870;3;;;;;
8;955;1125;2140;730;4950;3;;;;;
9;1225;1440;2740;935;6340;3;;;;;
10;1570;1845;3505;1200;8120;3;;;;;
11;2005;2360;4485;1535;10385;3;;;;;
12;2570;3020;5740;1965;13295;3;;;;;
13;3290;3870;7350;2515;17025;3;;;;;
14;4210;4950;9410;3220;21790;3;;;;;
15;5390;6340;12045;4120;27895;3;;;;;
16;6895;8115;15415;5275;35700;4;;;;;
17;8825;10385;19730;6750;45690;4;;;;;
18;11300;13290;25255;8640;58485;4;;;;;
19;14460;17015;32325;11060;74860;4;;;;;
20;18510;21780;41380;14155;95825;4;;;;;
;;;;;;;;;;;
