1;100;80;30;60;270;3;;;;;
2;165;135;50;100;450;2;;;;;
3;280;225;85;165;755;2;;;;;
4;465;375;140;280;1260;2;;;;;
5;780;620;235;465;2100;2;;;;;
6;1300;1040;390;780;3510;2;;;;;
7;2170;1735;650;1300;5855;2;;;;;
8;3625;2900;1085;2175;9785;2;;;;;
9;6050;4840;1815;3630;16335;2;;;;;
10;10105;8080;3030;6060;27275;2;;;;;
11;16870;13500;5060;10125;45555;3;;;;;
12;28175;22540;8455;16905;76075;3;;;;;
13;47055;37645;14115;28230;127045;3;;;;;
14;78580;62865;23575;47150;212170;3;;;;;
15;131230;104985;39370;78740;354325;3;;;;;
16;219155;175320;65745;131490;591710;3;;;;;
17;365985;292790;109795;219590;988160;3;;;;;
18;611195;488955;183360;366715;1650225;3;;;;;
19;1000000;816555;306210;612420;2735185;3;;;;;
20;1000000;1000000;511370;1000000;3511370;3;;;;;
