1;650;800;450;200;2100;3600;;;;;
2;830;1025;575;255;2685;5100;;;;;
3;1065;1310;735;330;3440;6900;;;;;
4;1365;1680;945;420;4410;9300;;;;;
5;1745;2145;1210;535;5635;12000;;;;;
6;2235;2750;1545;685;7215;15000;;;;;
7;2860;3520;1980;880;9240;18900;;;;;
8;3660;4505;2535;1125;11825;23400;;;;;
9;4685;5765;3245;1440;15135;28800;;;;;
10;5995;7380;4150;1845;19370;35400;;;;;
11;7675;9445;5315;2360;24795;43200;;;;;
12;9825;12090;6800;3020;31735;52800;;;;;
13;12575;15475;8705;3870;40625;64200;;;;;
14;16095;19805;11140;4950;51990;77700;;;;;
15;20600;25355;14260;6340;66555;93900;;;;;
16;26365;32450;18255;8115;85185;113700;;;;;
17;33750;41540;23365;10385;109040;137100;;;;;
18;43200;53170;29910;13290;139570;165300;;;;;
19;55295;68055;38280;17015;178645;199200;;;;;
20;70780;87110;49000;21780;228670;240000;;;;;
;;;;;;;;;;;
