1;780;420;660;300;2160;5;;;;;
2;1000;540;845;385;2770;3;;;;;
3;1280;690;1080;490;3540;3;;;;;
4;1635;880;1385;630;4530;3;;;;;
5;2095;1125;1770;805;5795;3;;;;;
6;2680;1445;2270;1030;7425;3;;;;;
7;3430;1845;2905;1320;9500;3;;;;;
8;4390;2365;3715;1690;12160;3;;;;;
9;5620;3025;4755;2160;15560;3;;;;;
10;7195;3875;6085;2765;19920;3;;;;;
11;9210;4960;7790;3540;25500;4;;;;;
12;11785;6345;9975;4535;32640;4;;;;;
13;15085;8125;12765;5805;41780;4;;;;;
14;19310;10400;16340;7430;53480;4;;;;;
15;24720;13310;20915;9505;68450;4;;;;;
16;31640;17035;26775;12170;87620;4;;;;;
17;40500;21810;34270;15575;112155;4;;;;;
18;51840;27915;43865;19940;143560;4;;;;;
19;66355;35730;56145;25520;183750;4;;;;;
20;84935;45735;71870;32665;235205;4;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
