1;80;70;120;70;340;4;1
2;100;90;155;90;435;2;2
3;130;115;195;115;555;2;3
4;170;145;250;145;710;2;4
5;215;190;320;190;915;2;5
6;275;240;410;240;1165;3;6
7;350;310;530;310;1500;3;7
8;450;395;675;395;1915;3;8
9;575;505;865;505;2450;3;9
10;740;645;1105;645;3135;3;10
11;945;825;1415;825;4010;3;11
12;1210;1060;1815;1060;5145;3;12
13;1545;1355;2320;1355;6575;3;13
14;1980;1735;2970;1735;8420;3;14
15;2535;2220;3805;2220;10780;3;15
16;3245;2840;4870;2840;13795;4;16
17;4155;3635;6230;3635;17655;4;17
18;5315;4650;7975;4650;22590;4;18
19;6805;5955;10210;5955;28925;4;19
20;8710;7620;13065;7620;37015;4;20
;;;;;;;
;;;;;;;
;;;;;;;
