1;460;510;600;320;1890;3;;;;;
2;590;655;770;410;2425;2;;;;;
3;755;835;985;525;3100;2;;;;;
4;965;1070;1260;670;3965;2;;;;;
5;1235;1370;1610;860;5075;2;;;;;
6;1580;1750;2060;1100;6490;2;;;;;
7;2025;2245;2640;1405;8315;2;;;;;
8;2590;2870;3380;1800;10640;2;;;;;
9;3315;3675;4325;2305;13620;2;;;;;
10;4245;4705;5535;2950;17435;2;;;;;
11;5430;6020;7085;3780;22315;3;;;;;
12;6950;7705;9065;4835;28555;3;;;;;
13;8900;9865;11605;6190;36560;3;;;;;
14;11390;12625;14855;7925;46795;3;;;;;
15;14580;16165;19015;10140;59900;3;;;;;
16;18660;20690;24340;12980;76670;3;;;;;
17;23885;26480;31155;16615;98135;3;;;;;
18;30570;33895;39875;21270;125610;3;;;;;
19;39130;43385;51040;27225;160780;3;;;;;
20;50090;55535;65335;34845;205805;3;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
