1;110;160;90;70;430;1;;;;;
2;140;205;115;90;550;1;;;;;
3;180;260;145;115;700;1;;;;;
4;230;335;190;145;900;1;;;;;
5;295;430;240;190;1155;1;;;;;
6;380;550;310;240;1480;1;;;;;
7;485;705;395;310;1895;1;;;;;
8;620;900;505;395;2420;1;;;;;
9;795;1155;650;505;3105;1;;;;;
10;1015;1475;830;645;3965;1;;;;;
11;1300;1890;1065;825;5080;2;;;;;
12;1660;2420;1360;1060;6500;2;;;;;
13;2130;3095;1740;1355;8320;2;;;;;
14;2725;3960;2230;1735;10650;2;;;;;
15;3485;5070;2850;2220;13625;2;;;;;
16;4460;6490;3650;2840;17440;2;;;;;
17;5710;8310;4675;3635;22330;2;;;;;
18;7310;10635;5980;4650;28575;2;;;;;
19;9360;13610;7655;5955;36580;2;;;;;
20;11980;17420;9800;7620;46820;2;;;;;
;;;;;;;;;;;
