1;580;460;350;180;1570;1;;;;;
2;740;590;450;230;2010;1;;;;;
3;950;755;575;295;2575;1;;;;;
4;1215;965;735;375;3290;1;;;;;
5;1555;1235;940;485;4215;1;;;;;
6;1995;1580;1205;620;5400;1;;;;;
7;2550;2025;1540;790;6905;1;;;;;
8;3265;2590;1970;1015;8840;1;;;;;
9;4180;3315;2520;1295;11310;1;;;;;
10;5350;4245;3230;1660;14485;1;;;;;
11;6845;5430;4130;2125;18530;2;;;;;
12;8765;6950;5290;2720;23725;2;;;;;
13;11220;8900;6770;3480;30370;2;;;;;
14;14360;11390;8665;4455;38870;2;;;;;
15;18380;14580;11090;5705;49755;2;;;;;
16;23530;18660;14200;7300;63690;2;;;;;
17;30115;23885;18175;9345;81520;2;;;;;
18;38550;30570;23260;11965;104345;2;;;;;
19;49340;39130;29775;15315;133560;2;;;;;
20;63155;50090;38110;19600;170955;2;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
