1;2880;2740;2580;990;9190;4;;;;;
2;3630;3450;3250;1245;11575;2;;;;;
3;4570;4350;4095;1570;14585;2;;;;;
4;5760;5480;5160;1980;18380;2;;;;;
5;7260;6905;6505;2495;23165;2;;;;;
6;9145;8700;8195;3145;29185;3;;;;;
7;11525;10965;10325;3960;36775;3;;;;;
8;14520;13815;13010;4990;46335;3;;;;;
9;18295;17405;16390;6290;58380;3;;;;;
10;23055;21930;20650;7925;73560;3;;;;;
11;29045;27635;26020;9985;92685;3;;;;;
12;36600;34820;32785;12580;116785;3;;;;;
13;46115;43875;41310;15850;147150;3;;;;;
14;58105;55280;52050;19975;185410;3;;;;;
15;73210;69655;65585;25165;233615;3;;;;;
16;92245;87760;82640;31710;294355;4;;;;;
17;116230;110580;104125;39955;370890;4;;;;;
18;146450;139330;131195;50340;467315;4;;;;;
19;184530;175560;165305;63430;588825;4;;;;;
20;232505;221205;208285;79925;741920;4;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
