1;400;500;350;100;1350;1;3600
2;510;640;450;130;1730;1;5100
3;655;820;575;165;2215;1;6900
4;840;1050;735;210;2835;1;9300
5;1075;1340;940;270;3625;1;12000
6;1375;1720;1205;345;4645;1;15000
7;1760;2200;1540;440;5940;1;18900
8;2250;2815;1970;565;7600;1;23400
9;2880;3605;2520;720;9725;1;28800
10;3690;4610;3230;920;12450;1;35400
11;4720;5905;4130;1180;15935;2;43200
12;6045;7555;5290;1510;20400;2;52800
13;7735;9670;6770;1935;26110;2;64200
14;9905;12380;8665;2475;33425;2;77700
15;12675;15845;11090;3170;42780;2;93900
16;16225;20280;14200;4055;54760;2;113700
17;20770;25960;18175;5190;70095;2;137100
18;26585;33230;23260;6645;89720;2;165300
19;34030;42535;29775;8505;114845;2;199200
20;43555;54445;38110;10890;147000;2;240000
