1;630;420;780;360;2190;4;;;;;
2;805;540;1000;460;2805;2;;;;;
3;1030;690;1280;590;3590;2;;;;;
4;1320;880;1635;755;4590;2;;;;;
5;1690;1125;2095;965;5875;2;;;;;
6;2165;1445;2680;1235;7525;3;;;;;
7;2770;1845;3430;1585;9630;3;;;;;
8;3545;2365;4390;2025;12325;3;;;;;
9;4540;3025;5620;2595;15780;3;;;;;
10;5810;3875;7195;3320;20200;3;;;;;
11;7440;4960;9210;4250;25860;3;;;;;
12;9520;6345;11785;5440;33090;3;;;;;
13;12185;8125;15085;6965;42360;3;;;;;
14;15600;10400;19310;8915;54225;3;;;;;
15;19965;13310;24720;11410;69405;3;;;;;
16;25555;17035;31640;14605;88835;4;;;;;
17;32710;21810;40500;18690;113710;4;;;;;
18;41870;27915;51840;23925;145550;4;;;;;
19;53595;35730;66355;30625;186305;4;;;;;
20;68600;45735;84935;39200;238470;4;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
