1;550;800;750;250;2350;1;;;;;
2;705;1025;960;320;3010;1;;;;;
3;900;1310;1230;410;3850;1;;;;;
4;1155;1680;1575;525;4935;1;;;;;
5;1475;2145;2015;670;6305;1;;;;;
6;1890;2750;2575;860;8075;1;;;;;
7;2420;3520;3300;1100;10340;1;;;;;
8;3095;4505;4220;1405;13225;1;;;;;
9;3965;5765;5405;1800;16935;1;;;;;
10;5075;7380;6920;2305;21680;1;;;;;
11;6495;9445;8855;2950;27745;2;;;;;
12;8310;12090;11335;3780;35515;2;;;;;
13;10640;15475;14505;4835;45455;2;;;;;
14;13615;19805;18570;6190;58180;2;;;;;
15;17430;25355;23770;7925;74480;2;;;;;
16;22310;32450;30425;10140;95325;2;;;;;
17;28560;41540;38940;12980;122020;2;;;;;
18;36555;53170;49845;16615;156185;2;;;;;
19;46790;68055;63805;21270;199920;2;;;;;
20;59890;87110;81670;27225;255895;2;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
