1;160;100;80;60;400;0;;;;;
2;205;130;100;75;510;0;;;;;
3;260;165;130;100;655;0;;;;;
4;335;210;170;125;840;0;;;;;
5;430;270;215;160;1075;0;;;;;
6;550;345;275;205;1375;1;;;;;
7;705;440;350;265;1760;1;;;;;
8;900;565;450;340;2255;1;;;;;
9;1155;720;575;430;2880;1;;;;;
10;1475;920;740;555;3690;1;;;;;
11;1890;1180;945;710;4725;1;;;;;
12;2420;1510;1210;905;6045;1;;;;;
13;3095;1935;1545;1160;7735;1;;;;;
14;3960;2475;1980;1485;9900;1;;;;;
15;5070;3170;2535;1900;12675;1;;;;;
16;6490;4055;3245;2435;16225;2;;;;;
17;8310;5190;4155;3115;20770;2;;;;;
18;10635;6645;5315;3990;26585;2;;;;;
19;13610;8505;6805;5105;34025;2;;;;;
20;17420;10890;8710;6535;43555;2;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
