1;155;130;125;70;480;2;1,10
2;200;165;160;90;615;1;1,20
3;255;215;205;115;790;1;1,30
4;325;275;260;145;1005;1;1,40
5;415;350;335;190;1290;1;1,50
6;535;445;430;240;1650;2;1,60
7;680;570;550;310;2110;2;1,70
8;875;730;705;395;2705;2;1,80
9;1115;935;900;505;3455;2;1,90
10;1430;1200;1155;645;4430;2;2,00
11;1830;1535;1475;825;5665;2;2,10
12;2340;1965;1890;1060;7255;2;2,20
13;3000;2515;2420;1355;9290;2;2,30
14;3840;3220;3095;1735;11890;2;2,40
15;4910;4120;3960;2220;15210;2;2,50
16;6290;5275;5070;2840;19475;3;2,60
17;8050;6750;6490;3635;24925;3;2,70
18;10300;8640;8310;4650;31900;3;2,80
19;13185;11060;10635;5955;40835;3;2,90
20;16880;14155;13610;7620;52265;3;3,00
