1;260;140;220;100;720;5;;;;;
2;335;180;280;130;925;3;;;;;
3;425;230;360;165;1180;3;;;;;
4;545;295;460;210;1510;3;;;;;
5;700;375;590;270;1935;3;;;;;
6;895;480;755;345;2475;3;;;;;
7;1145;615;970;440;3170;3;;;;;
8;1465;790;1240;565;4060;3;;;;;
9;1875;1010;1585;720;5190;3;;;;;
10;2400;1290;2030;920;6640;3;;;;;
11;3070;1655;2595;1180;8500;4;;;;;
12;3930;2115;3325;1510;10880;4;;;;;
13;5030;2710;4255;1935;13930;4;;;;;
14;6435;3465;5445;2475;17820;4;;;;;
15;8240;4435;6970;3170;22815;4;;;;;
16;10545;5680;8925;4055;29205;4;;;;;
17;13500;7270;11425;5190;37385;4;;;;;
18;17280;9305;14620;6645;47850;4;;;;;
19;22120;11910;18715;8505;61250;4;;;;;
20;28310;15245;23955;10890;78400;4;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
